course_offering_ID,subject_code
344b3ebe-da7e-314c-83ed-9425269695fd,220
344b3ebe-da7e-314c-83ed-9425269695fd,320
344b3ebe-da7e-314c-83ed-9425269695fd,346
344b3ebe-da7e-314c-83ed-9425269695fd,612
344b3ebe-da7e-314c-83ed-9425269695fd,636
344b3ebe-da7e-314c-83ed-9425269695fd,207
344b3ebe-da7e-314c-83ed-9425269695fd,490
344b3ebe-da7e-314c-83ed-9425269695fd,240
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,220
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,320
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,346
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,612
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,636
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,207
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,490
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,418
f718e6cd-33f0-3c14-a9a6-834d9c3610a8,240
ea3b717c-d66b-30dc-8b37-964d9688295f,220
ea3b717c-d66b-30dc-8b37-964d9688295f,320
ea3b717c-d66b-30dc-8b37-964d9688295f,684
ea3b717c-d66b-30dc-8b37-964d9688295f,346
ea3b717c-d66b-30dc-8b37-964d9688295f,612
ea3b717c-d66b-30dc-8b37-964d9688295f,207
ea3b717c-d66b-30dc-8b37-964d9688295f,636
ea3b717c-d66b-30dc-8b37-964d9688295f,490
ea3b717c-d66b-30dc-8b37-964d9688295f,418
ea3b717c-d66b-30dc-8b37-964d9688295f,240
075da420-5f49-3dd0-93df-13e3c152e1b1,220
075da420-5f49-3dd0-93df-13e3c152e1b1,320
075da420-5f49-3dd0-93df-13e3c152e1b1,346
075da420-5f49-3dd0-93df-13e3c152e1b1,612
075da420-5f49-3dd0-93df-13e3c152e1b1,207
075da420-5f49-3dd0-93df-13e3c152e1b1,636
075da420-5f49-3dd0-93df-13e3c152e1b1,490
075da420-5f49-3dd0-93df-13e3c152e1b1,240
2b4e216d-a728-3713-8c7c-19afffc6b2fd,220
2b4e216d-a728-3713-8c7c-19afffc6b2fd,320
2b4e216d-a728-3713-8c7c-19afffc6b2fd,684
2b4e216d-a728-3713-8c7c-19afffc6b2fd,346
2b4e216d-a728-3713-8c7c-19afffc6b2fd,612
2b4e216d-a728-3713-8c7c-19afffc6b2fd,207
2b4e216d-a728-3713-8c7c-19afffc6b2fd,636
2b4e216d-a728-3713-8c7c-19afffc6b2fd,490
2b4e216d-a728-3713-8c7c-19afffc6b2fd,240
87966a7b-f676-33d0-83d2-acdb67da6790,220
87966a7b-f676-33d0-83d2-acdb67da6790,320
87966a7b-f676-33d0-83d2-acdb67da6790,684
